id;sample;SiO2;Al2O3;Fe2O3;MgO;CaO;Na2O;K2O;TiO2;P2O5;MnO;LOI;Total;Cs;Rb;Ba;Sr;Pb;Th;U;Zr;Hf;Ta;Y;Nb;Sc;Cr;Ni;Co;V;W;Ga;Zn;Cu;La;Ce;Pr;Nd;Sm;Eu;Gd;Tb;Dy;Ho;Er;Tm;Yb;Lu;Type
inf_01;CP1;72;13.11;2.34;0.42;1.51;2.66;5.98;0.379;0.13;0.049;0.73;99.308;1.5;248;1042;272;;;;286;;;27;25;5;20;20;28;19;;19;40;10;149;;;;;;;;;;;;;;
inf_02;CP2;70.16;14.08;3.81;0.67;2.08;2.7;5.67;0.634;0.2;0.076;0.36;100.44;1.8;230;1486;300;;;;593;;;50;40;0.8;20;20;17;37;;21;60;10;259;;;;;;;;;;;;;;
inf_03;CP3;71.43;13.68;3.15;0.63;1.93;2.85;5.53;0.604;0.19;0.066;0.44;100.5;2;191;1857;355;;;;464;;;39;27;7;20;20;16;40;;17;40;10;160;;;;;;;;;;;;;;
inf_04;CP4;70.12;13.48;3.29;0.6;1.89;2.83;5.62;0.602;0.19;0.068;1.82;100.51;1.8;200;1901;352;;;;437;;;33;27;7;20;20;21;35;;19;40;10;179;;;;;;;;;;;;;;
inf_05;CP5;71.33;13.8;2.56;0.43;1.5;2.92;5.4;0.356;0.07;0.041;0.46;98.867;2.1;289;798;156;;;;269;;;20;24;4;20;20;15;17;;25;;10;132;;;;;;;;;;;;;;
inf_06;CP6;69.32;12.84;3.81;0.62;1.51;2.36;6;0.668;0.12;0.067;0.89;98.205;1.7;219;2775;473;;;;1010;;;38;37;6;20;20;27;31;;25;100;10;343;;;;;;;;;;;;;;
inf_07;CP7;70.7;14.07;2.73;0.49;1.64;2.86;5.49;0.403;0.08;0.037;0.67;99.17;1.6;285;929;178;;;;349;;;27;22;4;20;20;14;22;;25;70;10;160;;;;;;;;;;;;;;
inf_08;CP8;71.29;13.64;2.81;0.48;1.6;2.81;5.25;0.408;0.08;0.041;0.72;99.129;1.8;286;862;163;;;;310;;;22;92.7;4;20;20;19;22;;25;60;10;150;;;;;;;;;;;;;;
inf_09;CP9;70.8;13.88;2.71;0.47;1.6;2.95;5.37;0.401;0.08;0.039;1.05;99.35;0.9;81;2935;1301;;;;556;;;34;36;4;20;20;32;20;;25;60;10;198;;;;;;;;;;;;;;
inf_10;F 1;68;14.4;3.31;0.85;2.5;3.3;5.6;0.77;0.34;0.06;0.83;99.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
inf_11;F 2;68.89;14.25;4.15;0.8;1.86;2.5;6.11;0.6;0.17;0.04;0.69;100.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
inf_12;F 3;69.3;14.46;2.06;0.83;2.03;2.89;5.69;0.53;0.22;0.03;1.68;99.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
inf_13;F 4;69.6;13.8;3.73;0.76;1.8;2.9;5.7;0.6;0.18;0.04;1.8;100.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
inf_14;F 5;69.4;13.9;3.62;0.78;1.8;3.1;5.5;0.61;0.15;0.04;1.74;100.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
inf_15;F 6;69.6;13.7;3.41;0.68;1.78;3.2;5.8;0.57;0.15;0.04;1.34;100.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
inf_16;TR 3;65.5;16.3;4.456105;0.8;2.3;2.9;5.4;0.5;0.3;0.1;0.7;99.256105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
inf_17;PB 12;61;14.9;6.82313;2.9;4.6;2.7;4;1.6;0.8;0.1;0.8;100.22313;;309;1642;791;;;;396;;;21;30;;73;51;10;142;;27;185;35;;;;;;;;;;;;;;;
inf_18;FR 2;61.8;14.7;6.72313;2.6;4.6;2.3;4.6;1.4;0.9;0.1;0.7;100.42313;;401;2077;833;;;;443;;;14;33;;73;49;10;167;;29;182;39;;;;;;;;;;;;;;;
inf_19;NF 2;61.9;15;5.95632;2.7;4.5;2.7;3.7;1.6;0.8;0.1;0.9;99.85632;;245;1872;924;;;;474;;;32;31;;67;44;11;170;;28;205;30;;;;;;;;;;;;;;;
inf_20;CP10;54.34;14.04;9.6;3.03;5.88;2.88;3.2;2.484;1.46;0.135;0.92;97.969;0.9;81;2935;1301;;;;556;;;34;36;15;30;20;30;164;;25;170;20;198;;;;;;;;;;;;;;
